PsrID,FullName,ShortName,Extension
24,00-Norte Grande\C.Paguana 2.ElmLod,C.Paguana 2,ElmLod
25,00-Norte Grande\C.Puquios 1.ElmLod,C.Puquios 1,ElmLod
26,00-Norte Grande\C.Puquios 2.ElmLod,C.Puquios 2,ElmLod
27,00-Norte Grande\C.Puquios 3.ElmLod,C.Puquios 3,ElmLod
28,00-Norte Grande\C.Puquios 4.ElmLod,C.Puquios 4,ElmLod
29,00-Norte Grande\C.Puquios 5.ElmLod,C.Puquios 5,ElmLod
30,00-Norte Grande\C.Tiquima 1.ElmLod,C.Tiquima 1,ElmLod
31,00-Norte Grande\I. Bombeo 1 1.ElmLod,I. Bombeo 1 1,ElmLod
32,00-Norte Grande\I. Bombeo 1 2.ElmLod,I. Bombeo 1 2,ElmLod
33,00-Norte Grande\I. Bombeo 2 1.ElmLod,I. Bombeo 2 1,ElmLod
34,00-Norte Grande\I. Bombeo 2 2.ElmLod,I. Bombeo 2 2,ElmLod
35,00-Norte Grande\I. Bombeo 3 1.ElmLod,I. Bombeo 3 1,ElmLod
36,00-Norte Grande\I. Bombeo 3 2.ElmLod,I. Bombeo 3 2,ElmLod
37,00-Norte Grande\SS/AA BESS Arica.ElmLod,SS/AA BESS Arica,ElmLod
38,00-Norte Grande\SS/AA CSP Cerro Dominador.ElmLod,SS/AA CSP Cerro Dominador,ElmLod
39,00-Norte Grande\SS/AA IEM 1 y 2.ElmLod,SS/AA IEM 1 y 2,ElmLod
40,00-Norte Grande\SS/AA PE VDLV 1.ElmLod,SS/AA PE VDLV 1,ElmLod
41,00-Norte Grande\SS/AA PEVDLV 2.ElmLod,SS/AA PEVDLV 2,ElmLod
42,00-Norte Grande\SS/AA PFV CEME.ElmLod,SS/AA PFV CEME,ElmLod
43,00-Norte Grande\SS/AA PFV Taira.ElmLod,SS/AA PFV Taira,ElmLod
44,00-Norte Grande\SS/AA PFV WILLKA.ElmLod,SS/AA PFV WILLKA,ElmLod
45,00-Norte Grande\Atacama\S/E ATACAMA 220 kV\C. Molyb.ElmLod,C. Molyb,ElmLod
46,00-Norte Grande\Atacama\S/E CENTRAL ATACAMA 15 kV\SS/AA TG1A Atacama.ElmLod,SS/AA TG1A Atacama,ElmLod
47,00-Norte Grande\Atacama\S/E CENTRAL ATACAMA 15 kV\SS/AA TG1B Atacama.ElmLod,SS/AA TG1B Atacama,ElmLod
48,00-Norte Grande\Atacama\S/E CENTRAL ATACAMA 15 kV\SS/AA TG2A Atacama.ElmLod,SS/AA TG2A Atacama,ElmLod
49,00-Norte Grande\Atacama\S/E CENTRAL ATACAMA 15 kV\SS/AA TG2B Atacama.ElmLod,SS/AA TG2B Atacama,ElmLod
50,00-Norte Grande\Chacaya\S/E CENTRAL ANDINA 4.26 kV\SS/AA CTA.ElmLod,SS/AA CTA,ElmLod
51,00-Norte Grande\Chacaya\S/E CENTRAL ANDINA 4.26 kV\SS/AA CTA_1.ElmLod,SS/AA CTA_1,ElmLod
52,00-Norte Grande\Chacaya\S/E CENTRAL ANDINA 4.26 kV\SS/AA CTH_1.ElmLod,SS/AA CTH_1,ElmLod
53,00-Norte Grande\Chacaya\S/E CENTRAL HORNITOS (TER) 4.26 kV\SS/AA CTH.ElmLod,SS/AA CTH,ElmLod
54,00-Norte Grande\Chacaya\S/E CENTRAL MEJILLONES 110 kV\SS/AA CTM1.ElmLod,SS/AA CTM1,ElmLod
55,00-Norte Grande\Chacaya\S/E CENTRAL MEJILLONES 110 kV\SS/AA CTM2.ElmLod,SS/AA CTM2,ElmLod
56,00-Norte Grande\Chacaya\S/E CHACAYA 220 KV\C. Algorta UFR.ElmLod,C. Algorta UFR,ElmLod
57,00-Norte Grande\Chacaya\S/E CHACAYA 220 KV\C. Blue Dolphin.ElmLod,C. Blue Dolphin,ElmLod
58,00-Norte Grande\Cochrane\S/E COCHRANE 220 kV\SS/AA CCH 1.1.ElmLod,SS/AA CCH 1.1,ElmLod
59,00-Norte Grande\Cochrane\S/E COCHRANE 220 kV\SS/AA CCH 2.1.ElmLod,SS/AA CCH 2.1,ElmLod
60,00-Norte Grande\Mejillones\S/E MEJILLONES 220 kV\C. PAM.ElmLod,C. PAM,ElmLod
61,00-Norte Grande\Mejillones\S/E MEJILLONES 220 kV\C. Polpaico/Megapuerto/Molynor GAG.ElmLod,C. Polpaico/Megapuerto/Molynor GAG,ElmLod
62,00-Norte Grande\Salta\S/E CENTRAL SALTA 345 kV\SS/AA TG11 Salta.ElmLod,SS/AA TG11 Salta,ElmLod
63,00-Norte Grande\Salta\S/E CENTRAL SALTA 345 kV\SS/AA TG12 Salta.ElmLod,SS/AA TG12 Salta,ElmLod
64,00-Norte Grande\Salta\S/E SALTA 345\zSADI.ElmLod,zSADI,ElmLod
65,00-Norte Grande\Tarapacá\S/E CENTRAL TARAPACÁ 13.8 kV\C. Agunsa/Interacid/Collahuasi-Puerto-SA.ElmLod,C. Agunsa/Interacid/Collahuasi-Puerto-SA,ElmLod
66,00-Norte Grande\Tarapacá\S/E CENTRAL TARAPACÁ 13.8 kV\C. Punta de Lobos.ElmLod,C. Punta de Lobos,ElmLod
67,00-Norte Grande\Tocopilla\S/E CENTRAL TOCOPILLA 21 kV\C.Tocopilla 2.ElmLod,C.Tocopilla 2,ElmLod
68,00-Norte Grande\Tocopilla\S/E CENTRAL TOCOPILLA 21 kV\SS/AA TG1 Tocopilla.ElmLod,SS/AA TG1 Tocopilla,ElmLod
69,00-Norte Grande\Tocopilla\S/E CENTRAL TOCOPILLA 21 kV\SS/AA TG2 Tocopilla.ElmLod,SS/AA TG2 Tocopilla,ElmLod
70,00-Norte Grande\Tocopilla\S/E CENTRAL TOCOPILLA 21 kV\SS/AA TG3 Tocopilla.ElmLod,SS/AA TG3 Tocopilla,ElmLod
71,00-Norte Grande\Tocopilla\S/E CENTRAL TOCOPILLA 21 kV\SS/AA U14 Tocopilla.ElmLod,SS/AA U14 Tocopilla,ElmLod
72,00-Norte Grande\Tocopilla\S/E CENTRAL TOCOPILLA 21 kV\SS/AA U15 Tocopilla.ElmLod,SS/AA U15 Tocopilla,ElmLod
73,00-Norte Grande\Tocopilla\S/E CENTRAL TOCOPILLA 21 kV\SS/AA U16 Tocopilla.ElmLod,SS/AA U16 Tocopilla,ElmLod
74,00-Norte Grande\Tocopilla\S/E TOCOPILLA 220 kV\C. ELECDA Tocopilla.ElmLod,C. ELECDA Tocopilla,ElmLod
75,00-Norte Grande\Tocopilla\S/E TOCOPILLA 220 kV\C. Tocopilla LIPESED.ElmLod,C. Tocopilla LIPESED,ElmLod
76,00-Norte Grande\S/E 10 100 kV\C. Chuquicamata S/E 10 1.ElmLod,C. Chuquicamata S/E 10 1,ElmLod
77,00-Norte Grande\S/E 10 100 kV\C. Chuquicamata S/E 10 2 UFR.ElmLod,C. Chuquicamata S/E 10 2 UFR,ElmLod
78,00-Norte Grande\S/E 10 100 kV\C. Chuquicamata S/E 10 3.ElmLod,C. Chuquicamata S/E 10 3,ElmLod
79,00-Norte Grande\S/E 10 100 kV\C. Chuquicamata S/E 10 4.ElmLod,C. Chuquicamata S/E 10 4,ElmLod
80,00-Norte Grande\S/E 10 100 kV\C. Chuquicamata S/E 10 5.ElmLod,C. Chuquicamata S/E 10 5,ElmLod
81,00-Norte Grande\S/E 10 100 kV\C. Chuquicamata S/E 10 6.ElmLod,C. Chuquicamata S/E 10 6,ElmLod
82,00-Norte Grande\S/E 10 100 kV\C. Chuquicamata S/E 10 7.ElmLod,C. Chuquicamata S/E 10 7,ElmLod
83,00-Norte Grande\S/E 10A 100 kV\C. Chuquicamata S/E 10A 1.ElmLod,C. Chuquicamata S/E 10A 1,ElmLod
84,00-Norte Grande\S/E 10A 100 kV\C. Chuquicamata S/E 10A 2 UFR.ElmLod,C. Chuquicamata S/E 10A 2 UFR,ElmLod
85,00-Norte Grande\S/E 10A 100 kV\C. Chuquicamata S/E 10A 3.ElmLod,C. Chuquicamata S/E 10A 3,ElmLod
86,00-Norte Grande\S/E 10A 100 kV\C. Chuquicamata S/E 10A 4.ElmLod,C. Chuquicamata S/E 10A 4,ElmLod
87,00-Norte Grande\S/E 10A 100 kV\C. Chuquicamata S/E 10A 5.ElmLod,C. Chuquicamata S/E 10A 5,ElmLod
88,00-Norte Grande\S/E 10A 100 kV\C. Chuquicamata S/E 10A 6.ElmLod,C. Chuquicamata S/E 10A 6,ElmLod
89,00-Norte Grande\S/E A 100kV\C. Chuquicamata S/E A 1.ElmLod,C. Chuquicamata S/E A 1,ElmLod
90,00-Norte Grande\S/E A 100kV\C. Chuquicamata S/E A 2 UFR.ElmLod,C. Chuquicamata S/E A 2 UFR,ElmLod
91,00-Norte Grande\S/E A 100kV\C. Chuquicamata S/E A 3.ElmLod,C. Chuquicamata S/E A 3,ElmLod
92,00-Norte Grande\S/E A 100kV\C. Chuquicamata S/E A 4.ElmLod,C. Chuquicamata S/E A 4,ElmLod
93,00-Norte Grande\S/E A 100kV\C. Chuquicamata S/E A 5.ElmLod,C. Chuquicamata S/E A 5,ElmLod
94,00-Norte Grande\S/E A 100kV\C. Chuquicamata S/E A 6.ElmLod,C. Chuquicamata S/E A 6,ElmLod
95,00-Norte Grande\S/E A 100kV\C. Chuquicamata S/E A 7.ElmLod,C. Chuquicamata S/E A 7,ElmLod
96,00-Norte Grande\S/E A 100kV\C. Chuquicamata S/E A 8.ElmLod,C. Chuquicamata S/E A 8,ElmLod
97,00-Norte Grande\S/E A 100kV\C. Chuquicamata S/E A 9.ElmLod,C. Chuquicamata S/E A 9,ElmLod
98,00-Norte Grande\S/E ALTO HOSPICIO 110 kV\C. Cóndores Alto Hospicio UFR.ElmLod,C. Cóndores Alto Hospicio UFR,ElmLod
99,00-Norte Grande\S/E ALTO NORTE 110 kV\C. Alto Norte 1.ElmLod,C. Alto Norte 1,ElmLod
100,00-Norte Grande\S/E ALTO NORTE 110 kV\C. Alto Norte 2.ElmLod,C. Alto Norte 2,ElmLod
101,00-Norte Grande\S/E ALTO NORTE 110 kV\C. Alto Norte 3.ElmLod,C. Alto Norte 3,ElmLod
102,00-Norte Grande\S/E ALTO NORTE 110 kV\C. Alto Norte 4.ElmLod,C. Alto Norte 4,ElmLod
103,00-Norte Grande\S/E ANGAMOS 220 kV\SS/AA ANG 1.1 y 1.2.ElmLod,SS/AA ANG 1.1 y 1.2,ElmLod
104,00-Norte Grande\S/E ANGAMOS 220 kV\SS/AA ANG 2.1 y 2.2.ElmLod,SS/AA ANG 2.1 y 2.2,ElmLod
105,00-Norte Grande\S/E ANTOFAGASTA 110 kV\C. ELECDA-SERMOB-MALL.ElmLod,C. ELECDA-SERMOB-MALL,ElmLod
106,00-Norte Grande\S/E ANTUCOYA 220 kV\C. Minera Antucoya.ElmLod,C. Minera Antucoya,ElmLod
107,00-Norte Grande\S/E ANTUCOYA 220 kV\C. Minera Antucoya UFR.ElmLod,C. Minera Antucoya UFR,ElmLod
108,00-Norte Grande\S/E CAHUIZA 220 kV\Cahuiza 1.ElmLod,Cahuiza 1,ElmLod
109,00-Norte Grande\S/E CAHUIZA 220 kV\Cahuiza 2.ElmLod,Cahuiza 2,ElmLod
110,00-Norte Grande\S/E CALAMA 220 kV\C. ELECDA Calama Balmaceda.ElmLod,C. ELECDA Calama Balmaceda,ElmLod
111,00-Norte Grande\S/E CALAMA 220 kV\C. ELECDA Calama Grecia/Latorr/Chorr.ElmLod,C. ELECDA Calama Grecia/Latorr/Chorr,ElmLod
112,00-Norte Grande\S/E CALAMA 220 kV\C. ELECDA Calama Grecia/Latorr/Chorr UFR.ElmLod,C. ELECDA Calama Grecia/Latorr/Chorr UFR,ElmLod
113,00-Norte Grande\S/E CALICHE 220 KV\C. Caliche 1.ElmLod,C. Caliche 1,ElmLod
114,00-Norte Grande\S/E CALICHE 220 KV\C. Caliche 2.ElmLod,C. Caliche 2,ElmLod
115,00-Norte Grande\S/E CARBONATO 110 KV\C.Salar del Carmen.ElmLod,C.Salar del Carmen,ElmLod
116,00-Norte Grande\S/E CENTRAL DIESEL ARICA 66 kV\SS/AA CD Arica GMAR.ElmLod,SS/AA CD Arica GMAR,ElmLod
117,00-Norte Grande\S/E CENTRAL DIESEL ARICA 66 kV\SS/AA M1AR 1-2-3.ElmLod,SS/AA M1AR 1-2-3,ElmLod
118,00-Norte Grande\S/E CENTRAL DIESEL ARICA 66 kV\SS/AA M2AR 1-2.ElmLod,SS/AA M2AR 1-2,ElmLod
119,00-Norte Grande\S/E CENTRAL DIESEL ENAEX 110 kV\C. Enaex UFR.ElmLod,C. Enaex UFR,ElmLod
120,00-Norte Grande\S/E CENTRAL DIESEL TAMAYA 100 kV\PS2 CODELCO 1.ElmLod,PS2 CODELCO 1,ElmLod
121,00-Norte Grande\S/E CENTRAL DIESEL TAMAYA 100 kV\PS2 CODELCO 2.ElmLod,PS2 CODELCO 2,ElmLod
122,00-Norte Grande\S/E CENTRAL DIESEL TAMAYA 100 kV\SS/AA UGs Tamaya.ElmLod,SS/AA UGs Tamaya,ElmLod
123,00-Norte Grande\S/E CENTRO 110 kV\C. Esmeralda Centro 13.8 UFR.ElmLod,C. Esmeralda Centro 13.8 UFR,ElmLod
124,00-Norte Grande\S/E CENTRO 110 kV\C. Esmeralda Centro 23 UFR.ElmLod,C. Esmeralda Centro 23 UFR,ElmLod
125,00-Norte Grande\S/E CERRO COLORADO 110 kV\C. Cerro Colorado Mamiña.ElmLod,C. Cerro Colorado Mamiña,ElmLod
126,00-Norte Grande\S/E CERRO COLORADO 110 kV\C. Cerro Colorado UFR.ElmLod,C. Cerro Colorado UFR,ElmLod
127,00-Norte Grande\S/E CERRO DRAGÓN 110 kV\C. Cóndores Dragón UFR.ElmLod,C. Cóndores Dragón UFR,ElmLod
128,00-Norte Grande\S/E CHACA 23 kV\C. Pampa Camarones.ElmLod,C. Pampa Camarones,ElmLod
129,00-Norte Grande\S/E CHAMY 100 kV\C. Chuquicamata Chamy.ElmLod,C. Chuquicamata Chamy,ElmLod
130,00-Norte Grande\S/E CHIMBORAZO 220 kV\C. Escondida Chimborazo #1.ElmLod,C. Escondida Chimborazo #1,ElmLod
131,00-Norte Grande\S/E CHIMBORAZO 220 kV\C. Escondida Chimborazo #2.ElmLod,C. Escondida Chimborazo #2,ElmLod
132,00-Norte Grande\S/E CHIMBORAZO 220 kV\C. Escondida Chimborazo #3.ElmLod,C. Escondida Chimborazo #3,ElmLod
133,00-Norte Grande\S/E CHINCHORRO 66 kV\C. Parinacota Chinchorro UFR.ElmLod,C. Parinacota Chinchorro UFR,ElmLod
134,00-Norte Grande\S/E COLLAHUASI 220 kV\C. Collahuasi 2 UFR.ElmLod,C. Collahuasi 2 UFR,ElmLod
135,00-Norte Grande\S/E COLLAHUASI 220 kV\C. Collahuasi B1 1.ElmLod,C. Collahuasi B1 1,ElmLod
136,00-Norte Grande\S/E COLLAHUASI 220 kV\C. Collahuasi B2 1.ElmLod,C. Collahuasi B2 1,ElmLod
137,00-Norte Grande\S/E COLLAHUASI 220 kV\C. Collahuasi B2 2.ElmLod,C. Collahuasi B2 2,ElmLod
138,00-Norte Grande\S/E COLOSO 220 kV\C. Escondida Bombeo #1 UFR.ElmLod,C. Escondida Bombeo #1 UFR,ElmLod
139,00-Norte Grande\S/E COLOSO 220 kV\C. Escondida Coloso.ElmLod,C. Escondida Coloso,ElmLod
140,00-Norte Grande\S/E COLOSO 220 kV\C. Escondida Coloso #4.ElmLod,C. Escondida Coloso #4,ElmLod
141,00-Norte Grande\S/E COLOSO 220 kV\C. Escondida Desalinisadora UFR.ElmLod,C. Escondida Desalinisadora UFR,ElmLod
142,00-Norte Grande\S/E CRUCERO 220 kV\SS/AA S/E Crucero.ElmLod,SS/AA S/E Crucero,ElmLod
143,00-Norte Grande\S/E DESALANT 110 kV\C. Afta. Desalant I.ElmLod,C. Afta. Desalant I,ElmLod
144,00-Norte Grande\S/E DESALANT 110 kV\C. Afta. Desalant II UFR.ElmLod,C. Afta. Desalant II UFR,ElmLod
145,00-Norte Grande\S/E DESALANT 110 kV\C. Afta. Desalant III.ElmLod,C. Afta. Desalant III,ElmLod
146,00-Norte Grande\S/E EL ABRA 220 kV\C. El Abra 1.ElmLod,C. El Abra 1,ElmLod
147,00-Norte Grande\S/E EL ABRA 220 kV\C. El Abra 2 UFR.ElmLod,C. El Abra 2 UFR,ElmLod
148,00-Norte Grande\S/E EL ABRA 220 kV\C. El Abra 3.ElmLod,C. El Abra 3,ElmLod
149,00-Norte Grande\S/E EL COBRE (ENGIE) 220 kV\SS/AA S/E El Cobre.ElmLod,SS/AA S/E El Cobre,ElmLod
150,00-Norte Grande\S/E EL LINCE 110 kV\C. Michilla-Lince.ElmLod,C. Michilla-Lince,ElmLod
151,00-Norte Grande\S/E EL LINCE 110 kV\C. Michilla-Lince UFR.ElmLod,C. Michilla-Lince UFR,ElmLod
152,00-Norte Grande\S/E EL LOA 220 kV\C. SQM El Loa UFR.ElmLod,C. SQM El Loa UFR,ElmLod
153,00-Norte Grande\S/E EL PEÑÓN (MINERA MERIDIAN) 66 kV\C. El Peñon UFR.ElmLod,C. El Peñon UFR,ElmLod
154,00-Norte Grande\S/E EL TESORO 220 kV\C. El Tesoro.ElmLod,C. El Tesoro,ElmLod
155,00-Norte Grande\S/E EL TESORO 220 kV\C. El Tesoro UFR.ElmLod,C. El Tesoro UFR,ElmLod
156,00-Norte Grande\S/E ENCUENTRO 220 kV\SS/AA S/E Encuentro.ElmLod,SS/AA S/E Encuentro,ElmLod
157,00-Norte Grande\S/E ESCONDIDA 220 kV\C. Escondida 69 #1.ElmLod,C. Escondida 69 #1,ElmLod
158,00-Norte Grande\S/E ESCONDIDA 220 kV\C. Escondida 69 #1 UFR.ElmLod,C. Escondida 69 #1 UFR,ElmLod
159,00-Norte Grande\S/E ESCONDIDA 220 kV\C. Escondida 69 #2 UFR.ElmLod,C. Escondida 69 #2 UFR,ElmLod
160,00-Norte Grande\S/E ESCONDIDA 220 kV\C. Escondida B1 13.8 #1 UFR.ElmLod,C. Escondida B1 13.8 #1 UFR,ElmLod
161,00-Norte Grande\S/E ESCONDIDA 220 kV\C. Escondida B1 13.8 #2 UFR.ElmLod,C. Escondida B1 13.8 #2 UFR,ElmLod
162,00-Norte Grande\S/E ESCONDIDA 220 kV\C. Escondida B2 13.8 #1 UFR.ElmLod,C. Escondida B2 13.8 #1 UFR,ElmLod
163,00-Norte Grande\S/E ESCONDIDA 220 kV\C. Escondida B2 13.8 #2 UFR.ElmLod,C. Escondida B2 13.8 #2 UFR,ElmLod
164,00-Norte Grande\S/E ESMERALDA 220 kV\SS/AA S/E Esmeralda.ElmLod,SS/AA S/E Esmeralda,ElmLod
165,00-Norte Grande\S/E ESPERANZA (MINERA CENTINELA) 220 kV\C. Esperanza 1.ElmLod,C. Esperanza 1,ElmLod
166,00-Norte Grande\S/E ESPERANZA (MINERA CENTINELA) 220 kV\C. Esperanza 2 UFR.ElmLod,C. Esperanza 2 UFR,ElmLod
167,00-Norte Grande\S/E ESPERANZA (MINERA CENTINELA) 220 kV\C. Esperanza 3.ElmLod,C. Esperanza 3,ElmLod
168,00-Norte Grande\S/E EST. BOMBEO SIERRA GORDA N°1 220 kV\C. EB1 Sierra Gorda.ElmLod,C. EB1 Sierra Gorda,ElmLod
169,00-Norte Grande\S/E EST. BOMBEO SIERRA GORDA N°2 110 kV\C. EB2 Sierra Gorda.ElmLod,C. EB2 Sierra Gorda,ElmLod
170,00-Norte Grande\S/E FARELLÓN 220 kV\C. Escondida Farellón #1.ElmLod,C. Escondida Farellón #1,ElmLod
171,00-Norte Grande\S/E FARELLÓN 220 kV\C. Escondida Farellón #2.ElmLod,C. Escondida Farellón #2,ElmLod
172,00-Norte Grande\S/E FARELLÓN 220 kV\C. Escondida Farellón #3.ElmLod,C. Escondida Farellón #3,ElmLod
173,00-Norte Grande\S/E FORTUNA 220 kV\C. Lomas Bayas II #1.ElmLod,C. Lomas Bayas II #1,ElmLod
174,00-Norte Grande\S/E FORTUNA 220 kV\C. Lomas Bayas II #2.ElmLod,C. Lomas Bayas II #2,ElmLod
175,00-Norte Grande\S/E GABY 220 kV\C. Gaby #1 UFR.ElmLod,C. Gaby #1 UFR,ElmLod
176,00-Norte Grande\S/E GABY 220 kV\C. Gaby #2 UFR.ElmLod,C. Gaby #2 UFR,ElmLod
177,00-Norte Grande\S/E GNL MEJILLONES 110 kV\C. GNLM UFR.ElmLod,C. GNLM UFR,ElmLod
178,00-Norte Grande\S/E GRANJA SOLAR 220 kV\FV GS Consumos.ElmLod,FV GS Consumos,ElmLod
179,00-Norte Grande\S/E GUAYAQUES 110 kV\C. Guayaques.ElmLod,C. Guayaques,ElmLod
180,00-Norte Grande\S/E GUAYAQUES 110 kV\C. Guayaques UFR.ElmLod,C. Guayaques UFR,ElmLod
181,00-Norte Grande\S/E K1 100 kV\C. Chuquicamata K1 1.ElmLod,C. Chuquicamata K1 1,ElmLod
182,00-Norte Grande\S/E K1 100 kV\C. Chuquicamata K1 2.ElmLod,C. Chuquicamata K1 2,ElmLod
183,00-Norte Grande\S/E K1 100 kV\C. Chuquicamata K1 3.ElmLod,C. Chuquicamata K1 3,ElmLod
184,00-Norte Grande\S/E KELAR 220 kV\SS/AA Kelar TG1.ElmLod,SS/AA Kelar TG1,ElmLod
185,00-Norte Grande\S/E KELAR 220 kV\SS/AA Kelar TG2.ElmLod,SS/AA Kelar TG2,ElmLod
186,00-Norte Grande\S/E KELAR 220 kV\SS/AA Kelar TV1 y TV2.ElmLod,SS/AA Kelar TV1 y TV2,ElmLod
187,00-Norte Grande\S/E KM6 100 kV\C. Chuquicamata Km-6 1.ElmLod,C. Chuquicamata Km-6 1,ElmLod
188,00-Norte Grande\S/E LA CASCADA HMC (SAGASCA) 110 kV\C. Pozo Almonte La Cascada UFR.ElmLod,C. Pozo Almonte La Cascada UFR,ElmLod
189,00-Norte Grande\S/E LA PORTADA 110 kV\C. Esmeralda Portada 2.ElmLod,C. Esmeralda Portada 2,ElmLod
190,00-Norte Grande\S/E LA PORTADA 110 kV\C. Esmeralda Portada UFR.ElmLod,C. Esmeralda Portada UFR,ElmLod
191,00-Norte Grande\S/E LAGUNA SECA 220 kV\C. Escondida Laguna Seca #1 UFR.ElmLod,C. Escondida Laguna Seca #1 UFR,ElmLod
192,00-Norte Grande\S/E LAGUNA SECA 220 kV\C. Escondida Laguna Seca #2.ElmLod,C. Escondida Laguna Seca #2,ElmLod
193,00-Norte Grande\S/E LAGUNA SECA 220 kV\C. Escondida Laguna Seca #3.ElmLod,C. Escondida Laguna Seca #3,ElmLod
194,00-Norte Grande\S/E LAGUNA SECA 220 kV\C. Escondida Laguna Seca #4.ElmLod,C. Escondida Laguna Seca #4,ElmLod
195,00-Norte Grande\S/E LAGUNA SECA 220 kV\C. Escondida Laguna Seca #5.ElmLod,C. Escondida Laguna Seca #5,ElmLod
196,00-Norte Grande\S/E LAS DUNAS 220 kV\Las Dunas 1.ElmLod,Las Dunas 1,ElmLod
197,00-Norte Grande\S/E LAS DUNAS 220 kV\Las Dunas 2.ElmLod,Las Dunas 2,ElmLod
198,00-Norte Grande\S/E LIXIVIACIÓN 69 kV\C. Booster N°1.ElmLod,C. Booster N°1,ElmLod
199,00-Norte Grande\S/E LIXIVIACIÓN 69 kV\C. Booster N°2.ElmLod,C. Booster N°2,ElmLod
200,00-Norte Grande\S/E LIXIVIACIÓN 69 kV\C. Escondida Lixiviación N°1 UFR.ElmLod,C. Escondida Lixiviación N°1 UFR,ElmLod
201,00-Norte Grande\S/E LIXIVIACIÓN 69 kV\C. Escondida Lixiviación N°2 UFR.ElmLod,C. Escondida Lixiviación N°2 UFR,ElmLod
202,00-Norte Grande\S/E LOMAS BAYAS 220 kV\C. Lomas Bayas #1 UFR.ElmLod,C. Lomas Bayas #1 UFR,ElmLod
203,00-Norte Grande\S/E LOMAS BAYAS 220 kV\C. Lomas Bayas #2 UFR.ElmLod,C. Lomas Bayas #2 UFR,ElmLod
204,00-Norte Grande\S/E MANTOS BLANCOS 220 kV\C. Mantos Blancos UFR.ElmLod,C. Mantos Blancos UFR,ElmLod
205,00-Norte Grande\S/E MARÍA ELENA 220 kV\SS/AA PFV Maria Elena.ElmLod,SS/AA PFV Maria Elena,ElmLod
206,00-Norte Grande\S/E MINSAL 110 kV\C. Soquimich-Minsal.ElmLod,C. Soquimich-Minsal,ElmLod
207,00-Norte Grande\S/E MINSAL 110 kV\C. Soquimich-Minsal UFR.ElmLod,C. Soquimich-Minsal UFR,ElmLod
208,00-Norte Grande\S/E MMH 220 kV\C. MMH.ElmLod,C. MMH,ElmLod
209,00-Norte Grande\S/E MMH 220 kV\C. MMH UFR.ElmLod,C. MMH UFR,ElmLod
210,00-Norte Grande\S/E MOLYCOP 220 kV\C. MolyCop UFR.ElmLod,C. MolyCop UFR,ElmLod
211,00-Norte Grande\S/E MUELLE 110 kV\C. Muelle UFR.ElmLod,C. Muelle UFR,ElmLod
212,00-Norte Grande\S/E NORGENER 220 kV\C. PMA Tocopilla.ElmLod,C. PMA Tocopilla,ElmLod
213,00-Norte Grande\S/E NORGENER 220 kV\SS/AA NTO1.ElmLod,SS/AA NTO1,ElmLod
214,00-Norte Grande\S/E NORGENER 220 kV\SS/AA NTO2.ElmLod,SS/AA NTO2,ElmLod
